entity_id,entity_title,name,pageUrl
PID_000011235309,Q68666,"John Ernest, Duke of Saxe-Eisenach",https://www.wikidata.org/wiki/Q68666
PID_000011235378,Q68673,"William Louis, Prince of Anhalt-Köthen",https://www.wikidata.org/wiki/Q68673
PID_000011235518,Q68683,"Augustus William, Duke of Brunswick-Bevern",https://www.wikidata.org/wiki/Q68683
PID_000011236058,Q687024,Demetrios Christodoulou,https://www.wikidata.org/wiki/Q687024
PID_000011236179,Q68707488,Yan-Bei Chen,https://www.wikidata.org/wiki/Q68707488
PID_000011236383,Q6871281,Miné Okubo,https://www.wikidata.org/wiki/Q6871281
PID_000011236461,Q6871574,Mansour bin Nasser bin Abdul Aziz,https://www.wikidata.org/wiki/Q6871574
PID_000011236841,Q687346,Armin B. Cremers,https://www.wikidata.org/wiki/Q687346
PID_000011237086,Q68743,Hannelore Kohl,https://www.wikidata.org/wiki/Q68743
PID_000011237266,Q6875247,Mischa Cotlar,https://www.wikidata.org/wiki/Q6875247
PID_000011237307,Q6875499,Mishari bin Saud bin Abdulaziz Al Saud,https://www.wikidata.org/wiki/Q6875499
PID_000011237389,Q68761,Elsa Einstein,https://www.wikidata.org/wiki/Q68761
PID_000011237407,Q687620,Bernard Malgrange,https://www.wikidata.org/wiki/Q687620
PID_000011237410,Q68762194,Infanta Maria of Austria,https://www.wikidata.org/wiki/Q68762194
PID_000011237427,Q687638,Erich Hecke,https://www.wikidata.org/wiki/Q687638
PID_000011237647,Q68786212,Leia Dozzi,https://www.wikidata.org/wiki/Q68786212
PID_000011237649,Q68786261,Michael Albert Valdez,https://www.wikidata.org/wiki/Q68786261
PID_000011237860,Q68802,Wolfgang Mommsen,https://www.wikidata.org/wiki/Q68802
PID_000011238434,Q68824286,Dipak K. Dey,https://www.wikidata.org/wiki/Q68824286
PID_000011238448,Q6882575,Mitrofan Cioban,https://www.wikidata.org/wiki/Q6882575
PID_000011238491,Q68829937,Sylvie Giscard d'Estaing,https://www.wikidata.org/wiki/Q68829937
PID_000011238655,Q688395,Julius Schulhoff,https://www.wikidata.org/wiki/Q688395
PID_000011238754,Q688471,"William I, Count of Nassau-Siegen",https://www.wikidata.org/wiki/Q688471
PID_000011238991,Q68862174,Claude Allardet,https://www.wikidata.org/wiki/Q68862174
PID_000011239415,Q688647,Johannes Cuspinian,https://www.wikidata.org/wiki/Q688647
PID_000011239918,Q68868044,Niklaus Diesbach,https://www.wikidata.org/wiki/Q68868044
PID_000011240584,Q68904344,Goro Gheri,https://www.wikidata.org/wiki/Q68904344
PID_000011242323,Q68911,Elisabeth Rethberg,https://www.wikidata.org/wiki/Q68911
PID_000011243506,Q68924,Ludwig Lange,https://www.wikidata.org/wiki/Q68924
PID_000011243593,Q6892571,Mohammed bin Salman Al Saud,https://www.wikidata.org/wiki/Q6892571
PID_000011243982,Q6893450,Mohammed bin Faisal Al Saud,https://www.wikidata.org/wiki/Q6893450
PID_000011243988,Q6893468,Mohammed bin Nawwaf bin Abdulaziz,https://www.wikidata.org/wiki/Q6893468
PID_000011244246,Q689411,Giovanni Giacometti,https://www.wikidata.org/wiki/Q689411
PID_000011244316,Q6894417,Mohsen Hashtroodi,https://www.wikidata.org/wiki/Q6894417
PID_000011244530,Q68952,"Louis IV, Landgrave of Hesse-Marburg",https://www.wikidata.org/wiki/Q68952
PID_000011244560,Q6895334,Mokhzani Mahathir,https://www.wikidata.org/wiki/Q6895334
PID_000011244665,Q689638,Jean-Marie Loret,https://www.wikidata.org/wiki/Q689638
PID_000011244880,Q6897261,Tsvia Walden,https://www.wikidata.org/wiki/Q6897261
PID_000011245123,Q68984580,José M. F. Moura,https://www.wikidata.org/wiki/Q68984580
PID_000011245237,Q689964,Prince El Hassan bin Talal of Jordan,https://www.wikidata.org/wiki/Q689964
PID_000011245265,Q6899861,Moni Naor,https://www.wikidata.org/wiki/Q6899861
PID_000011245578,Q690155,Marcel Gromaire,https://www.wikidata.org/wiki/Q690155
PID_000011245584,Q690169,Otto Meyer-Amden,https://www.wikidata.org/wiki/Q690169
PID_000011245607,Q69019,Jakob Bernays,https://www.wikidata.org/wiki/Q69019
PID_000011245673,Q69024,Ulrich Zasius,https://www.wikidata.org/wiki/Q69024
PID_000011245724,Q690276,"Philip Prospero, Prince of Asturias",https://www.wikidata.org/wiki/Q690276
PID_000011245726,Q69028,Friedrich Gottlieb Welcker,https://www.wikidata.org/wiki/Q69028
PID_000011245973,Q690446,Louis Moilliet,https://www.wikidata.org/wiki/Q690446
PID_000011245981,Q69045,Ernst Albrecht,https://www.wikidata.org/wiki/Q69045
PID_000011246213,Q6905789,Montgomery Slatkin,https://www.wikidata.org/wiki/Q6905789
PID_000011246353,Q690693,Albert Welti,https://www.wikidata.org/wiki/Q690693
PID_000011246366,Q690708,"Mahidol Adulyadej, Prince Father",https://www.wikidata.org/wiki/Q690708
PID_000011246453,Q690790,Rufino Tamayo,https://www.wikidata.org/wiki/Q690790
PID_000011246624,Q6909653,Mordechai Gutnick,https://www.wikidata.org/wiki/Q6909653
PID_000011246677,Q69103,Hassan II,https://www.wikidata.org/wiki/Q69103
PID_000011246971,Q691234,Carl Schmidt,https://www.wikidata.org/wiki/Q691234
PID_000011247117,Q69133730,Walter Alexander Strauss,https://www.wikidata.org/wiki/Q69133730
PID_000011247222,Q69137,"Anthony Günther, Count of Oldenburg",https://www.wikidata.org/wiki/Q69137
PID_000011247325,Q691402,Philip IV of Spain,https://www.wikidata.org/wiki/Q691402
PID_000011247519,Q691479,Arnaud Rykner,https://www.wikidata.org/wiki/Q691479
PID_000011247622,Q69152812,Justinien Raymond,https://www.wikidata.org/wiki/Q69152812
PID_000011247629,Q6915324,Chemi Peres,https://www.wikidata.org/wiki/Q6915324
PID_000011248069,Q69176,Otto Truchsess von Waldburg,https://www.wikidata.org/wiki/Q69176
PID_000011248287,Q691973,Alberto Savinio,https://www.wikidata.org/wiki/Q691973
PID_000011248361,Q692094,Arndt von Haeseler,https://www.wikidata.org/wiki/Q692094
PID_000011248377,Q692120,Duke Eugen of Württemberg,https://www.wikidata.org/wiki/Q692120
PID_000011248401,Q692166,Arne Beurling,https://www.wikidata.org/wiki/Q692166
PID_000011248629,Q69255,"Frederick Augustus, Prince of Anhalt-Zerbst",https://www.wikidata.org/wiki/Q69255
PID_000011248756,Q69265242,Jules Fesser,https://www.wikidata.org/wiki/Q69265242
PID_000011248833,Q69275,Erwin Finlay-Freundlich,https://www.wikidata.org/wiki/Q69275
PID_000011248919,Q6928315,Shimon Elituv,https://www.wikidata.org/wiki/Q6928315
PID_000011249174,Q69307605,Infante Carlos Lorenzo of Spain,https://www.wikidata.org/wiki/Q69307605
PID_000011249242,Q69314,Loki Schmidt,https://www.wikidata.org/wiki/Q69314
PID_000011249307,Q693211,Bertram Eugene Warren,https://www.wikidata.org/wiki/Q693211
PID_000011249518,Q69326,Abu Hurairah,https://www.wikidata.org/wiki/Q69326
PID_000011249662,Q6932834,Muhammad bin Abdul-Rahman,https://www.wikidata.org/wiki/Q6932834
PID_000011249666,Q6932844,Muhammad bin Saad,https://www.wikidata.org/wiki/Q6932844
PID_000011249877,Q6933490,Mukhriz Mahathir,https://www.wikidata.org/wiki/Q6933490
PID_000011249952,Q6933935,Muley Xeque,https://www.wikidata.org/wiki/Q6933935
PID_000011249988,Q69342,Johann Amerbach,https://www.wikidata.org/wiki/Q69342
PID_000011250026,Q693480,"Christian, Prince-Elect of Denmark",https://www.wikidata.org/wiki/Q693480
PID_000011250252,Q69357550,Martin Chirac,https://www.wikidata.org/wiki/Q69357550
PID_000011250303,Q6935925,Muneer Ahmad Rashid,https://www.wikidata.org/wiki/Q6935925
PID_000011250340,Q693603,Ferrante Gonzaga,https://www.wikidata.org/wiki/Q693603
PID_000011250517,Q69368600,Karen L. Collins,https://www.wikidata.org/wiki/Q69368600
PID_000011250967,Q69389816,Q69389816,https://www.wikidata.org/wiki/Q69389816
PID_000011251528,Q694108,"Charles August Frederick, Prince of Waldeck and Pyrmont",https://www.wikidata.org/wiki/Q694108
PID_000011251740,Q694197,"Christoph, Duke of Württemberg",https://www.wikidata.org/wiki/Q694197
PID_000011251769,Q69422,Anna Karolina Orzelska,https://www.wikidata.org/wiki/Q69422
PID_000011251842,Q69427,Sabina of Bavaria,https://www.wikidata.org/wiki/Q69427
PID_000011252068,Q6943650,Mutaib bin Abdullah,https://www.wikidata.org/wiki/Q6943650
PID_000011253091,Q69449,"John Ernest I, Duke of Saxe-Weimar",https://www.wikidata.org/wiki/Q69449
PID_000011253105,Q69450,Henry III of Nassau-Breda,https://www.wikidata.org/wiki/Q69450
PID_000011253142,Q69454,"Victor Amadeus, Prince of Anhalt-Bernburg",https://www.wikidata.org/wiki/Q69454
PID_000011253160,Q69456,"Christian II, Prince of Anhalt-Bernburg",https://www.wikidata.org/wiki/Q69456
PID_000011253284,Q69465,Prince Heinrich of Bavaria,https://www.wikidata.org/wiki/Q69465
PID_000011253338,Q69468,"Albert IV, Duke of Saxe-Eisenach",https://www.wikidata.org/wiki/Q69468
PID_000011253653,Q694826,Tadeusz Stefan Zieliński,https://www.wikidata.org/wiki/Q694826
PID_000011253699,Q6948402,Myrna Wooders,https://www.wikidata.org/wiki/Q6948402
PID_000011253850,Q694901,Arnold Berney,https://www.wikidata.org/wiki/Q694901
PID_000011253858,Q694907,Arnold Birckmann,https://www.wikidata.org/wiki/Q694907
PID_000011254015,Q69496346,Léon-Paul-Joseph Robert,https://www.wikidata.org/wiki/Q69496346
PID_000011254383,Q69503319,James F. Puglisi,https://www.wikidata.org/wiki/Q69503319
PID_000011254956,Q69524860,Mariano Maldonado y Dávalos,https://www.wikidata.org/wiki/Q69524860
PID_000011255069,Q695292,Arnold Harberger,https://www.wikidata.org/wiki/Q695292
