subject_id,relation_id,object_id
PID_000000473398,RID_0035,PID_000000905961
PID_000000473059,RID_0035,PID_000000905961
PID_000001243551,RID_0035,PID_000000905961
PID_000001243333,RID_0035,PID_000000905961
PID_000001243927,RID_0033,PID_000000905961
PID_000001186258,RID_0035,PID_000000905961
PID_000001186294,RID_0035,PID_000000905961
PID_000001045828,RID_0035,PID_000001447701
PID_000001040077,RID_0035,PID_000001447701
PID_000001038990,RID_0035,PID_000001447701
PID_000001024805,RID_0035,PID_000001447701
PID_000001024207,RID_0035,PID_000001447701
PID_000001022509,RID_0035,PID_000001447701
PID_000001009005,RID_0035,PID_000001447701
PID_000001009428,RID_0035,PID_000001447701
PID_000000967576,RID_0035,PID_000001447701
PID_000000965680,RID_0035,PID_000001447701
PID_000000965271,RID_0035,PID_000001447701
PID_000000965170,RID_0035,PID_000001447701
PID_000000952975,RID_0035,PID_000001447701
PID_000000942961,RID_0035,PID_000001447701
PID_000000468946,RID_0035,PID_000001447701
PID_000000448501,RID_0035,PID_000001447701
PID_000000406786,RID_0035,PID_000001447701
PID_000000397274,RID_0035,PID_000001447701
PID_000000397233,RID_0035,PID_000001447701
PID_000000394626,RID_0035,PID_000001447701
PID_000000386312,RID_0035,PID_000001447701
PID_000000383279,RID_0035,PID_000001447701
PID_000000378138,RID_0035,PID_000001447701
PID_000000375542,RID_0035,PID_000001447701
PID_000000372705,RID_0035,PID_000001447701
PID_000000371833,RID_0035,PID_000001447701
PID_000000934282,RID_0035,PID_000001447701
PID_000000934434,RID_0035,PID_000001447701
PID_000000933904,RID_0035,PID_000001447701
PID_000001532793,RID_0035,PID_000001447701
PID_000001531665,RID_0035,PID_000001447701
PID_000001530879,RID_0035,PID_000001447701
PID_000001524415,RID_0035,PID_000001447701
PID_000001490060,RID_0035,PID_000001447701
PID_000001490186,RID_0035,PID_000001447701
PID_000001476365,RID_0035,PID_000001447701
PID_000001471633,RID_0035,PID_000001447701
PID_000001466023,RID_0035,PID_000001447701
PID_000001457783,RID_0033,PID_000001447701
PID_000001455719,RID_0035,PID_000001447701
PID_000001456003,RID_0033,PID_000001447701
PID_000001452595,RID_0035,PID_000001447701
PID_000001450976,RID_0035,PID_000001447701
PID_000001450374,RID_0035,PID_000001447701
PID_000001447877,RID_0035,PID_000001447701
PID_000001447923,RID_0035,PID_000001447701
PID_000001447925,RID_0035,PID_000001447701
PID_000001448651,RID_0035,PID_000001447701
PID_000001444049,RID_0035,PID_000001447701
PID_000001441566,RID_0033,PID_000001447701
PID_000001441561,RID_0035,PID_000001447701
PID_000001441541,RID_0035,PID_000001447701
PID_000001431357,RID_0035,PID_000001447701
PID_000000923690,RID_0035,PID_000001447701
PID_000000912296,RID_0035,PID_000001447701
PID_000000909932,RID_0035,PID_000001447701
PID_000000909606,RID_0035,PID_000001447701
PID_000000905961,RID_0035,PID_000001447701
PID_000000903771,RID_0035,PID_000001447701
PID_000000897260,RID_0035,PID_000001447701
PID_000000897095,RID_0035,PID_000001447701
PID_000000894471,RID_0035,PID_000001447701
PID_000000886304,RID_0035,PID_000001447701
PID_000000879736,RID_0035,PID_000001447701
PID_000000874641,RID_0033,PID_000001447701
PID_000000864850,RID_0035,PID_000001447701
PID_000000857797,RID_0035,PID_000001447701
PID_000000846485,RID_0035,PID_000001447701
PID_000000834126,RID_0035,PID_000001447701
PID_000001759911,RID_0035,PID_000001447701
PID_000001744859,RID_0035,PID_000001447701
PID_000001742245,RID_0035,PID_000001447701
PID_000001738831,RID_0035,PID_000001447701
PID_000001725463,RID_0035,PID_000001447701
PID_000001696012,RID_0035,PID_000001447701
PID_000001690082,RID_0035,PID_000001447701
PID_000001685388,RID_0035,PID_000001447701
PID_000001685283,RID_0035,PID_000001447701
PID_000001662848,RID_0035,PID_000001447701
PID_000001663598,RID_0035,PID_000001447701
PID_000001661441,RID_0035,PID_000001447701
PID_000001151136,RID_0035,PID_000001447701
PID_000001149938,RID_0035,PID_000001447701
PID_000001140686,RID_0035,PID_000001447701
PID_000001116030,RID_0035,PID_000001447701
PID_000001100810,RID_0035,PID_000001447701
PID_000001063965,RID_0035,PID_000001447701
PID_000001064250,RID_0035,PID_000001447701
PID_000001062114,RID_0035,PID_000001447701
PID_000000684048,RID_0035,PID_000001447701
PID_000000680875,RID_0035,PID_000001447701
PID_000000677033,RID_0035,PID_000001447701
PID_000000673004,RID_0035,PID_000001447701
PID_000000651102,RID_0035,PID_000001447701
PID_000000621952,RID_0035,PID_000001447701
PID_000000621746,RID_0033,PID_000001447701
PID_000000620233,RID_0035,PID_000001447701
PID_000001634299,RID_0035,PID_000001447701
PID_000001628219,RID_0035,PID_000001447701
